"","BB","CC","CS","LT","MM","PS","RS","RWF","SMB","SS","WS"
"1998_1",0.00130633572828217,0,0,0,0,0.0122843152665307,0,0,0.282274978034647,0,0.0051414268116954
"1998_2",0.000568181818181818,0,0,0,0,0.00618082017782617,0,0,0.0299060968971149,0,0
"1998_3",0,0,0,0,0,0,0,0,0.0042082548852724,0,0
"1998_4",0.00152021180058563,0,0,0,0,0.00311526479750779,0,0,0.0153835299765717,0,0.0005005005005005
"1998_5",0.00210970464135021,0,0,0,0.00293169158604515,0.0123131046613896,0,0,0.0432656446567138,0,0.00058633831720903
"1998_6",0.000569313976658127,0.000142328494164532,0,0,0.000696527261469336,0.00527244589407231,0,0,0.0170592401116224,0,0.000554198767304805
"1998_7",0.000549249359209081,0,0,0,0.000733543168201596,0.00256921712258982,0,0,0.0370511941297176,0.000367376928728876,0
"1998_8",0.000416666666666667,0,0,0,0,0.00320684126135756,0,0,0.0564824959914484,0,0
"1998_9",0,0,0,0,0,0.00110741971207087,0,0,0.0221483942414175,0,0
"1998_10",0,0,0,0,0,0.00690881794765878,0,0,0.0666674209567008,0,0.000693521771706263
"1998_11",0,0,0.000220653133274493,0,0,0.00402188402984036,0,0,0.0295730132977847,0,0.000479989232859555
"1998_12",0.000711945429154582,0.000172413793103448,0.00272585669781931,0,0,0.00490036523794178,0,0,0.0192120528520786,0,0.000517241379310345
"1998_13",0.00192586772657947,0.000909090909090909,0.00141747931783519,0,0,0.0137740906780053,0,0,0.0431404538521976,0,0
"1998_14",0.000380662352493338,0.000761324704986677,0,0,0.000190331176246669,0.00345228612088752,0,0,0.00786270442012075,0,0.000570993528740008
"1998_15",0.000678944549836164,0.000594530321046373,0,0,0,0.00517831371231994,0,0,0.0190213395539661,0,0.00135788909967233
"1998_16",0.00058411214953271,0,0.00042247570764681,0,0,0.0167918165701649,0,0,0.153318620922606,0,0.00555379897909481
"1998_17",0,0,0,0,0,0.0063273727647868,0,0,0.0115543328748281,0,0
"1998_18",0,0.000529941706412295,0,0,0,0.00529941706412295,0,0,0.0853206147323794,0.000529941706412295,0.00211976682564918
"1999_1",0,0,0,0,0,0.051948051948052,0,0,0.114285714285714,0,0.0207792207792208
"1999_2",0.000277854959711031,0,0,0,0,0.00166712975826619,0,0,0.0297304806890803,0,0
"1999_3",0.000829416643627315,0,0.000276472214542438,0,0,0.00165883328725463,0,0,0.044788498755875,0,0.000276472214542438
"1999_4",0,0,0,0,0,0,0,0,0.0253565768621236,0,0
"1999_5",0.000288350634371396,0,0,0,0,0.000288350634371396,0,0,0.00922722029988466,0,0.000576701268742791
"1999_6",0.00104384133611691,0,0.00313152400835073,0,0,0.00104384133611691,0,0,0.0260960334029228,0,0.00521920668058455
"1999_7",0.00346620450606586,0,0,0,0,0.0138648180242634,0,0,0.0554592720970537,0,0.00173310225303293
"1999_8",0,0,0,0,0,0.00232558139534884,0,0,0.00813953488372093,0,0
"2000_1",0,0,0,0.00503158052240689,0,0.00778318475959951,0,0,0.183295076891683,0,0.00246195530053114
"2000_2",0,0,0,0,0,0,0,0,0.00280898876404494,0,0
"2000_3",0,0,0,0,0,0.000555565972286227,0,0,0.0351705359467262,0.000428082191780822,0.000114705207616426
"2000_5",0.00462277130151964,0.0019272566673274,0,0,0,0.115186204794432,0,0,0.0958328004019664,0,0.00289295295596746
"2000_6",0.000349406009783368,0,0,0.000263713080168776,0,0.00859061423165772,0,0,0.0462341952197563,0.000240153698366955,0
"2000_7",0.000221238938053097,0,0,0.000442477876106195,0,0.000795286814659223,0,0,0.033708371678248,0.000766959011992125,0.000179726815240834
"2000_8",0.000256081946222791,0.000128040973111396,0,0,0,0.00140475196406802,0,0,0.031757751146241,0.000653696234221565,0
"2000_9",0.000338532753084609,0,0,0.000323624595469256,0.000207813798836243,0.00259953400312738,0,0,0.0428836968854307,0.000877308114754665,0.000130718954248366
"2000_10",0.000129804938660205,5.04770077229822e-05,0.000469217634367179,0,0,0.00917239055908873,0,0,0.029494449268029,5.91086416834141e-05,0.000349355012016307
"2000_11",0.000643498143546974,0,0,0.000171115674195756,0,0.00180267878644827,0,0,0.0546992189495464,0.000700072249161493,0.000342231348391513
"2000_12",0,0,0,0,0,0.00239808153477218,0,0,0.0359712230215827,0,0
"2000_13",0.000513670440442722,0.000385802469135802,0,0.000508130081300813,0,0.00602559185068482,0.000225225225225225,0,0.0499819649863963,0.00121198635217327,0
"2000_14",0.000282774708410068,0.000395849056603774,0,0,0,0.0115814096906023,0,0,0.0373691866514414,0.000877345753760477,0.00107807636109523
"2000_15",0,0,0,0,0,0.00414733323354787,0,0,0.068238010499648,0.00102880658436214,0.00573408375695957
"2000_16",0,0,0,0,0,0.00402007537047633,0,0,0.0495625515041221,0,0.00403051853667723
"2000_17",0,0,0.000979087044273629,0,0,0.00685913770317161,0,0,0.0606116901593032,0.00045662100456621,0.00045662100456621
"2000_19",0,0.00103575459849605,0.00253255115180999,0,0.000461041954817888,0.0122119131218572,0,0,0.0294634917498271,0,0.00191021967526266
"2000_20",0.000140193466984439,0.000828673956302608,0.000928730176619766,0,0,0.00915767146967581,0,0,0.0271609146117157,0,0.000468431436968308
"2000_21",0,0.00349602712764219,0.0161013817702848,0,0,0.00671152748835537,0,0,0.0206989037838436,0,0.00297150575339619
"2000_22",0,0,0,0.000759301442672741,0,0.00385051916803681,0,0,0.0322104314437222,0.000542005420054201,0.0010840108401084
"2000_23",0,0.00199471131503675,0,0,0,0.00306603135609959,0,0,0.0280645027567052,0,0
"2000_24",0.000606060606060606,0.000443852640923214,0.000606060606060606,0,0.000606060606060606,0.00571704293427986,0,0,0.0238432635534085,0.00121212121212121,0
"2000_25",0.00096761843564533,0.000869795794675742,0,0,0,0.00720282667071648,0,0,0.0134621660683482,0,0.000182215743440233
"2000_26",0.0019394601341863,0,0.00180995475113122,0.000719424460431655,0,0.00506155174690998,0,0,0.0255474260005321,0,0.000904977375565611
"2000_27",0.000478927203065134,0,0,0,0,0.00739391515578894,0,0,0.00951883701883702,0,0
"2000_28",0.00115740740740741,0,0,0,0,0.00545634920634921,0,0,0.00656761412575366,0,0.00179843304843305
"2000_29",0.00118483412322275,0,0,0,0,0.000595238095238095,0,0,0.016687925170068,0.000637755102040816,0.00123299319727891
"2000_31",0.000163934426229508,0.000163934426229508,0,0.0001953125,0,0.000668558514236804,0,0,0.0046875,0,0.000828668158000815
"2001_1",0,0.0521316863703332,0,0,0,0.0829347219301471,0,0,0.179105073186159,0.00197044334975369,0.0276565342062444
"2001_2",0,0,0,0.00164203612479475,0,0.00164203612479475,0,0.000821018062397373,0.00129198966408269,0,0.00258397932816537
"2001_3",0.00091324200913242,0.000533333333333333,0,0,0,0.00144657534246575,0,0,0.0148114985015789,0,0.00220995480090868
"2001_4",0,0,0,0.000723065798987708,0.000723065798987708,0.00513048051009005,0.000505050505050505,0,0.00693158638754003,0,0.00223713646532438
"2001_5",0.00319488817891374,0.0818883822377298,0.0295800861923104,0,0.109941405722362,0.194707604459478,0.00133511348464619,0,0.0423909195220891,0,0.0135900049906798
"2001_6",0.000208855472013367,0.00253266360807549,0.000394321766561514,0.0006265664160401,0.000394321766561514,0.020613435138728,0,0,0.0227845509700846,0.000508975520032574,0.00286147373386483
"2001_7",0.00149790492566642,0.00289439192110377,0.000275633958103638,0,0,0.00511813624082897,0,0,0.0107809565030527,0.006070518293482,0.0034715208974538
"2001_8",0.000604960677555959,0.000399680255795364,0,0,0,0.00341820644897756,0,0,0.0120385334178924,0.0112065311431242,0.00160646301360848
"2001_9",0.000893406434335758,0.000652315720808871,0.000652315720808871,0.000683060109289617,0,0.00270149604867772,0,0,0.017830258115474,0.00229847721707142,0.000551876379690949
"2001_10",0.000405819828876003,0.00630667331530795,0.000966803990792522,0.000112650670271488,0.000213538330130258,0.014883960598496,0,0,0.0210191681914689,0.00363695918053716,0.00652831838691677
"2001_11",0.000881834215167548,0.00199905085240755,0,0.000839630562552477,0,0.00568971874597399,0.000440917107583774,0,0.0248543413844768,0.00617283950617284,0.00274209203023134
"2001_12",0.00271383055106803,0.00337554906082825,0,0,0,0.00949111124971978,0,0.000846023688663283,0.0075250834406239,0.00280095797227777,0.00293340259348968
"2001_13",0.00229665653278142,0,0,0.000752445447705041,0,0.00981250287925554,0,0.000752445447705041,0.0357802418673136,0.00625467314800539,0.000752445447705041
"2001_14",0.00291884747382924,0.000623052959501558,0,0.000623052959501558,0,0.0143686394617839,0,0,0.0139045172371112,0.0022272845416024,0.00559652124082486
"2001_15",0,0.0047904472648524,0,0.000556483027267668,0,0.0122591113408313,0,0,0.0204875497456275,0,0.0103552775375291
"2001_16",0.000419287211740042,0.00167714884696017,0.00280898876404494,0.00127226463104326,0,0.00820517633959999,0,0,0.0158501013154556,0.00125786163522013,0.00799526301470706
"2001_17",0,0.00203252032520325,0.00513341671878257,0.00195021028354362,0,0.0103421119681282,0.000881834215167548,0,0.0128306464688579,0.0017636684303351,0.00732290518875885
"2001_18",0.001953125,0.219276685393258,0.287767731741573,0,0.00561797752808989,0.0279582162921348,0,0,0.00280898876404494,0.00561797752808989,0.0114773525280899
"2001_19",0,0.0349833359429172,0.117297067573311,0,0.00478672243720223,0.012335875813631,0,0,0.00138121546961326,0.00138121546961326,0.0161104525018453
"2001_20",0.000396825396825397,0.00672488842769118,0.0407131319347078,0,0,0.0130059128869282,0.000290613193839,0,0.0152602605801971,0.000396825396825397,0.0077074443415004
"2001_22",0,0.00388445036247966,0,0,0,0,0,0,0.00533067021748779,0.00133155792276964,0.00244266903388075
"2001_23",0,0.00491302714808934,0,0.000411861614497529,0,0.00060313630880579,0,0.000823723228995058,0.00976742984441667,0.000411861614497529,0.0057660626029654
"2001_24",0,0.0145288981149201,0.00201072386058981,0,0,0.00692932841402842,0.000670241286863271,0,0.00916696782001395,0,0.00738315950481985
"2001_25",0,0.0185189738546021,0.000680272108843537,0,0,0.0096754364396361,0,0,0.00437259241045816,0,0.00598311613802147
"2001_26",0.000636132315521628,0.00127226463104326,0,0,0.00138519598593361,0.0103495283913845,0,0,0.0105924152754927,0,0.005557808118062
"2001_27",0.000554631170271769,0.00621030512184145,0.0122391879602085,0,0.00446972964998478,0.00873460058152238,0,0,0.00529745131103977,0,0.00630197332915026
"2001_28",0,0.0026246719160105,0.0130512640961676,0,0.00464055507329167,0.0071908819616726,0.000570776255707763,0,0.00882437618620356,0,0.0098155538776831
"2001_29",0,0,0,0,0.000888888888888889,0.00177777777777778,0,0,0.0165132262573516,0,0.0102895622895623
"2001_30",0.00543478260869565,0,0,0,0,0,0,0,0.0364475500345066,0,0
"2001_31",0,0.000376222723852521,0.000559753708368318,0.00018811136192626,0.000279876854184159,0.00167568094287679,0,0.000279876854184159,0.0059767603930826,0,0.00261623775250809
"2003_1",0,0.0609080841638981,0.0132890365448505,0,0,0.191214470284238,0,0,0.0690291620524179,0.0132890365448505,0
"2003_2",0,0,0,0.00141043723554302,0,0.00141043723554302,0,0,0.00705218617771509,0.00141043723554302,0.00705218617771509
"2003_3",0,0,0,0,0,0,0,0,0.0869565217391304,0.000988142292490119,0.000988142292490119
"2003_4",0.00127226463104326,0,0.00127226463104326,0,0,0.00763358778625954,0.00127226463104326,0.00127226463104326,0.00254452926208651,0.00127226463104326,0.00763358778625954
"2003_5",0.00392156862745098,0.0274509803921569,0.0941176470588235,0,0.0823529411764706,0.250980392156863,0,0.00196078431372549,0.103921568627451,0.00196078431372549,0.0137254901960784
"2003_6",0.00344827586206897,0.00344827586206897,0,0,0,0.0103448275862069,0,0,0.108620689655172,0,0.00172413793103448
"2003_7",0.00204359673024523,0,0,0,0,0.00204359673024523,0,0,0.0769754768392371,0.000681198910081744,0.000681198910081744
"2003_8",0.00389711613406079,0,0,0,0,0.00233826968043648,0,0,0.0701480904130943,0.00467653936087295,0.00467653936087295
"2003_9",0.00204290091930541,0,0,0,0,0.00561797752808989,0,0,0.083758937691522,0,0.00153217568947906
"2003_10",0,0.00130293159609121,0.000651465798045603,0,0,0.0429967426710098,0,0,0.0495114006514658,0.00260586319218241,0
"2003_11",0.000868055555555556,0,0,0,0,0.0112847222222222,0,0,0.102430555555556,0,0
"2003_12",0.00521739130434783,0,0,0,0,0.0260869565217391,0.00173913043478261,0,0.0243478260869565,0.00173913043478261,0.00173913043478261
"2003_13",0,0,0,0,0,0.0619047619047619,0,0,0.0333333333333333,0,0
"2003_14",0.00177147918511957,0.00177147918511957,0,0,0,0.0531443755535872,0,0,0.070859167404783,0.00265721877767936,0.00531443755535872
