SITE.N,OLD SITE.N,SITE,HAB,HAB2,HAB3,DEPTH,E.UTM1,N.UTM1,E.UTM2,N.UTM2,ACCUR.H,ELEVAT,,,,,,,,
NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
BEF.LML.001,1,LODGE,R,R,,,,,,,5M,,,,,,,,,
BEF.LML.002,2,LODGE TO ROCK DOCK,S,S,,,,,,,,,,,,,,,,
BEF.LML.003,3,ROCK DOCK,R,R,,,,,,,,,,,,,,,,
BEF.LML.004,4,MILO'S SANDY SHORE,S,S,,,,,,,,,,,,,,,,
BEF.LML.005,5,PUNKY BAY,SW,DA,,,,,,,,,,,,,,,,
BEF.LML.006,6,GULL ROCK AND ADJACENT SHORE,R,R,,,,,,,,,,,,,,,,
BEF.LML.007,7,SNORKEL COVES,R,R,,,,,,,,,,,,,,,,
BEF.LML.008,8,SALTBOX BOATHOUSE,R,R,,,,,,,,,,,,,,,,
BEF.LML.009,9,LAKER SHOAL,R,R,,,,,,,,,,,,,,,,
BEF.LML.010,10,EAST BAY DIVING BOARD CLIFFS,RW,RW,,,,,,,,,,,,,,,,
BEF.LML.011,11,GRASSY CORNER,R,R,,,507020,507209,4837705,4837700,,,,,,,,,,
BEF.LML.012,12,JOHN RIGGS SHORELINE,S,S,,,507209,507526,4837700,4837565,,,,,,,,,,
BEF.LML.013,13,RPUFVDG,R,R,,,507526,507590,4837565,4837478,,,,,,,,,,
BEF.LML.014,14,VAN DE GRACHT'S,RW,RW,,,507590,507526,4837478,4837260,,,,,,,,,,
BEF.LML.015,15,FAR AWAY CORNER,RW,RW,,,,,,,,,,,,,,,,
BEF.LML.016,16,EAST BAY DEEP BACK SIDE,R,R,,,,,,,,,,,,,,,,
BEF.LML.017,17,PICO COVE ROCK FLAT,R,R,,,,,,,,,,,,,,,,
BEF.LML.018,18,PICO COVE,S,DA,,,507555,507505,4836959,4836964,,,,,,,,,,
BEF.LML.019,19,LIFE PRESERVER BAY,SW,SW,,,507505,507364,4836964,4837083,,,,,,,,,,
BEF.LML.020,20,EAST BAY WOOD SHORE,SW,SW,,,507364,506910,4837083,4837062,,,,,,,,,,
BEF.LML.021,21,MINNOW BAY AND PANTHER OUTLET,S,DA,,,506702,506497,4837050,4837070,,,,,,,,,,
BEF.LML.022,22,BRUSHWOOD ROCK FLAT,R,R,,,506497,506291,4837070,4837040,,,,,,,,,,
BEF.LML.023,23,BRUSHWOOD TO PANTHER CAMP,S,S,,,506291,506120,4837040,4837097,,,,,,,,,,
BEF.LML.024,24,PANTHER CAMP TO NO GOOD BOATHOUSE,SW,SW,,,506120,505385,4837097,4836972,,,,,,,,,,
BEF.LML.025,25,NO GOOD BOATHOUSE TO YEAH RIGHT ROCKS,SW,SW,,,505385,505213,4836972,4836478,,,,,,,,,,
BEF.LML.026,26,YEAH RIGHT ROCKS,R,R,,,,,,,,,,,,,,,,
BEF.LML.027,27,OUTLET WOOD SHORE,SW,SW,,,,,,,,,,,,,,,,
BEF.LML.028,28,OUTLET,S,DA,,,,,,,,,,,,,,,,
BEF.LML.029,29,OUTLET ROCK FLAT,R,R,,,,,,,,,,,,,,,,
BEF.LML.030,30,NEW ROCK SHOAL,R,R,,,506910,506702,4837062,4837050,,,,,,,,,,
BEF.LML.031,31,OUTLET TO LODGE,S,S,,,,,,,,,,,,,,,,
BEF.LML.032,32,NO SHOCK ZONE,S,S,,,,,,,,,,,,,,,,
BEF.LML.033,33,LODGE CRIB,RW,RW,,,,,,,,,,,,,,,,
BEF.LML.034,34,PRICE DOCK PUNKY BAY,RW,RW,,,,,,,,,,,,,,,,
BEF.LML.035,35,SNORKEL ROCK,R,R,,,,,,,,,,,,,,,,
BEF.LML.036,36,SUNKEN DOCK DIVING BOARD CLIFFS,RW,RW,,,,,,,,,,,,,,,,
BEF.LML.037,37,CAVE AND ROCKPILE EAST BAY WOOD SHORE,RW,RW,,,,,,,,,,,,,,,,
BEF.LML.038,38,FENTON BOAT SLIP AND SUNKEN DOCK,SW,SW,,,,,,,,,,,,,,,,
BEF.LML.039,39,SUNKEN DOCK YEAH RIGHT ROCKS,RW,RW,,,,,,,,,,,,,,,,
BEF.LML.040,40,WEIRD FLAG SLINGLUFF BOAT SLIP,SW,SW,,,,,,,,,,,,,,,,
BEF.LML.041,41,CATTAIL BED BOAT SLIP,SW,SW,,,,,,,,,,,,,,,,
BEF.LML.042,42,THAD COLLUMN'S BOAT SLIP,SW,SW,,,,,,,,,,,,,,,,
BEF.LML.101,101,QEF.001,UNK,,,,,,,,,,,,,,,,,
BEF.LML.102,102,QEF.102,UNK,,,,,,,,,,,,,,,,,
BEF.LML.103,103,QEF.103,UNK,,,,,,,,,,,,,,,,,
BEF.LML.104,104,QEF.104,UNK,,,,,,,,,,,,,,,,,
BEF.LML.105,105,QEF.105,UNK,,,,,,,,,,,,,,,,,
BEF.LML.106,106,QEF.106,UNK,,,,,,,,,,,,,,,,,
BEF.LML.109,107,QEF.109,UNK,,,,,,,,,,,,,,,,,
BEF.LML.111,108,QEF.111,UNK,,,,,,,,,,,,,,,,,
BEF.LML.112,109,QEF.112,UNK,,,,,,,,,,,,,,,,,
BEF.LML.113,110,QEF.113,UNK,,,,,,,,,,,,,,,,,
BEF.LML.115,111,QEF.115,UNK,,,,,,,,,,,,,,,,,
BEF.LML.116,112,QEF.116,UNK,,,,,,,,,,,,,,,,,
BEF.LML.118,113,QEF.118,UNK,,,,,,,,,,,,,,,,,
BEF.LML.120,114,QEF.120,UNK,,,,,,,,,,,,,,,,,
BEF.LML.121,115,QEF.121,UNK,,,,,,,,,,,,,,,,,
BEF.LML.122,116,QEF.122,UNK,,,,,,,,,,,,,,,,,
BEF.LML.123,117,QEF.123,UNK,,,,,,,,,,,,,,,,,
BEF.LML.124,118,QEF.124,UNK,,,,,,,,,,,,,,,,,
BEF.LML.125,119,QEF.125,UNK,,,,,,,,,,,,,,,,,
BEF.LML.127,120,QEF.127,UNK,,,,,,,,,,,,,,,,,
BEF.LML.128,121,QEF.128,UNK,,,,,,,,,,,,,,,,,
BEF.LML.130,122,QEF.130,UNK,,,,,,,,,,,,,,,,,
BEF.LML.132,123,QEF.132,UNK,,,,,,,,,,,,,,,,,
BEF.LML.133,124,QEF.133,UNK,,,,,,,,,,,,,,,,,
BEF.LML.134,125,QEF.134,UNK,,,,,,,,,,,,,,,,,
BEF.LML.136,126,QEF.136,UNK,,,,,,,,,,,,,,,,,
BEF.LML.137,127,QEF.137,UNK,,,,,,,,,,,,,,,,,
BEF.LML.139,128,QEF.139,UNK,,,,,,,,,,,,,,,,,
BEF.LML.140,129,QEF.140,UNK,,,,,,,,,,,,,,,,,
BEF.LML.141,130,QEF.141,UNK,,,,,,,,,,,,,,,,,
BEF.LML.143,131,QEF.143,UNK,,,,,,,,,,,,,,,,,
BEF.LML.144,132,QEF.144,UNK,,,,,,,,,,,,,,,,,
BEF.LML.146,133,QEF.146,UNK,,,,,,,,,,,,,,,,,
BEF.LML.147,134,QEF.147,UNK,,,,,,,,,,,,,,,,,
BEF.LML.149,135,QEF.149,UNK,,,,,,,,,,,,,,,,,
BEF.LML.152,136,QEF.152,UNK,,,,,,,,,,,,,,,,,
BEF.LML.153,137,QEF.153,UNK,,,,,,,,,,,,,,,,,
BEF.LML.156,138,QEF.156,UNK,,,,,,,,,,,,,,,,,
BEF.LML.157,139,QEF.157,UNK,,,,,,,,,,,,,,,,,
BEF.LML.159,140,QEF.159,UNK,,,,,,,,,,,,,,,,,
BEF.LML.160,141,QEF.160,UNK,,,,,,,,,,,,,,,,,
BEF.LML.161,142,QEF.161,UNK,,,,,,,,,,,,,,,,,
BEF.LML.162,143,QEF.162,UNK,,,,,,,,,,,,,,,,,
BEF.LML.163,144,QEF.163,UNK,,,,,,,,,,,,,,,,,
BEF.LML.164,145,QEF.164,UNK,,,,,,,,,,,,,,,,,
BEF.LML.166,146,QEF.166,UNK,,,,,,,,,,,,,,,,,
BEF.LML.168,147,QEF.168,UNK,,,,,,,,,,,,,,,,,
BEF.LML.170,148,QEF.170,UNK,,,,,,,,,,,,,,,,,
