water,site,feature,start,end,point,COMMENT,csv
LML,BEF.023,SCD,3,32,,"COBBLES, DENSE",garmin_lml_hab_day1
LML,BEF.023,A,3,6,,,garmin_lml_hab_day1
LML,BEF.023,FW,3,32,,,garmin_lml_hab_day1
LML,BEF.023,CW,,,4,,garmin_lml_hab_day1
LML,BEF.023,CW,,,5,,garmin_lml_hab_day1
LML,BEF.023,A,8,13,,,garmin_lml_hab_day1
LML,BEF.023,CW,,,9,,garmin_lml_hab_day1
LML,BEF.023,CW,,,10,,garmin_lml_hab_day1
LML,BEF.023,CW,,,11,,garmin_lml_hab_day1
LML,BEF.023,CW,,,12,,garmin_lml_hab_day1
LML,BEF.023,CW,,,13,,garmin_lml_hab_day1
LML,BEF.023,CW,,,14,,garmin_lml_hab_day1
LML,BEF.023,CW,,,15,,garmin_lml_hab_day1
LML,BEF.023,A,14,16,,,garmin_lml_hab_day1
LML,BEF.023,O,16,17,,,garmin_lml_hab_day1
LML,BEF.023,CW,,,17,,garmin_lml_hab_day1
LML,BEF.023,CW,,,18,,garmin_lml_hab_day1
LML,BEF.023,CW,,,19,,garmin_lml_hab_day1
LML,BEF.023,CW,,,20,,garmin_lml_hab_day1
LML,BEF.023,O,20,24,,,garmin_lml_hab_day1
LML,BEF.023,CW,,,21,,garmin_lml_hab_day1
LML,BEF.023,A,22,30,,,garmin_lml_hab_day1
LML,BEF.023,CW,,,23,,garmin_lml_hab_day1
LML,BEF.023,CW,,,25,,garmin_lml_hab_day1
LML,BEF.023,CW,,,26,,garmin_lml_hab_day1
LML,BEF.023,CW,,,27,,garmin_lml_hab_day1
LML,BEF.023,CW,,,29,,garmin_lml_hab_day1
LML,BEF.023,O,28,29,,,garmin_lml_hab_day1
LML,BEF.023,O,30,32,,,garmin_lml_hab_day1
LML,BEF.023,A,31,32,,,garmin_lml_hab_day1
LML,BEF.024,SCS,34,43,,SCARCE COBBLES,garmin_lml_hab_day1
LML,BEF.024,A,34,35,,,garmin_lml_hab_day1
LML,BEF.024,FW,34,43,,,garmin_lml_hab_day1
LML,BEF.024,A,37,40,,,garmin_lml_hab_day1
LML,BEF.024,CW,,,38,,garmin_lml_hab_day1
LML,BEF.024,CW,,,39,,garmin_lml_hab_day1
LML,BEF.024,O,40,44,,,garmin_lml_hab_day1
LML,BEF.024,A,41,42,,,garmin_lml_hab_day1
LML,BEF.024,SCD,43,45,,DENSE COBBLES,garmin_lml_hab_day1
LML,BEF.024,A,45,56,,,garmin_lml_hab_day1
LML,BEF.024,O,45,55,,,garmin_lml_hab_day1
LML,BEF.024,SCS,45,55,,,garmin_lml_hab_day1
LML,BEF.024,CW,,,47,,garmin_lml_hab_day1
