ISO_YSAMP_N,hypothesized ysamp_N,ISO_FISH_N,hypothesized old fish_N,ITEM_N,NUM,CATEGORY,GROUP,TAXON,SAMPLE_TYPE,N2_AMP,PER_N,D15N,CO2_AMP,PER_C,D13C,SD_D13C_VPDB,H2_AMP,PER_H,D2H,CO2_AREA,D18O_VSMOW,SD_D18O_VSMOW,D18O_VPDB,SD_D18O_VPDB,COMMENT,issue
SIC.LOP.2021.032,,,,20-hep-182,,INVERT,INSECT,HEPTAGENIIDAE,TISSUE,3450,10.08,0.72,2333,47.79,-22.84,,,,,,,,,,,no issue
SIC.LOP.2020.003,,,,20-LIMNEPHELIDAE-LOP,,INVERT,INSECT,LIMNEPHELIDAE,TISSUE,3167,9.19,0.52,2523,50.35,-27.61,,,,,,,,,,,no issue
SIC.LOP.2020.003,,,,20-SIL-LOP,,INVERT,SIL,GASTROPODA,TISSUE,4178,11.67,2.96,2371,45.65,-27.73,,,,,,,,,,,no issue
SIC.TPP.2021.015,,,,21- bae-38,,INVERT,INSECT,BAETIDAE,TISSUE,2679,8.28,1.56,2274,46.88,-33.46,,,,,,,,,,,no issue
SIC.PRL.2021.016,,,,21-aes-107,,INVERT,INSECT,AESHNIDAE,TISSUE,3590,11.28,3.84,2120,43.98,-28.08,,,,,,,,,,,no issue
SIC.TPP.2021.002,,,,21-aes-181,,INVERT,INSECT,AESHNIDAE,TISSUE,3686,11.28,3.68,2040,43.3,-30.7,,,,,,,,,,,no issue
SIC.TPP.2021.013,,,,21-aes-30,,INVERT,INSECT,AESHNIDAE,TISSUE,2907,8.91,3.88,2333,47.99,-28.42,,,,,,,,,,,no issue
SIC.TPP.2021.001,,,,21-aes-91,,INVERT,INSECT,AESHNIDAE,TISSUE,1671,10.76,3.56,993,40.89,-29.65,,,,,,,,,,,no issue
SIC.PRL.2021.016,,,,21-ase-109,,INVERT,ISOPOD,ASELLIDAE,TISSUE,1681,7.84,2.23,1125,33.46,-25.45,,,,,,,,,,,no issue
SIC.LML.2021.032,,,,21-ase-147,1,INVERT,ISOPOD,ASELLIDAE,TISSUE,2240,6.41,0.75,1590,30.6,-24.64,,,,,,,,,,,no issue
SIC.HNM.2021.007,,,,21-ase-48,,INVERT,ISOPOD,ASELLIDAE,TISSUE,1930,6.07,2.22,1609,32.93,-36.21,,,,,,,,,,,no issue
SIC.HNM.2021.017,,,,21-ase-49,,INVERT,ISOPOD,ASELLIDAE,TISSUE,1608,5.76,2.38,1335,30.84,-27.42,,,,,,,,,,,no issue
SIC.HNM.2021.018,,,,21-ase-76,,INVERT,ISOPOD,ASELLIDAE,TISSUE,2032,6.41,3.29,1523,31.34,-32.85,,,,,,,,,,,no issue
SIC.HNM.2021.016,,,,21-ase-77,,INVERT,ISOPOD,ASELLIDAE,TISSUE,1322,7.66,0.17,872,32.15,-30.27,,,,,,,,,,,no issue
SIC.LOP.2021.002,,,,21-cae-2,,INVERT,INSECT,CAENIDAE,TISSUE,2776,8.59,0.64,2127,43.8,-26.35,,,,,,,,,,,no issue
SIC.WFL.2021.025,,,,21-cal-20,,INVERT,INSECT,COEGRIONIDAE,TISSUE,2267,11.02,6.79,1345,42.4,-36.66,,,,,,,,,,,no issue
SIC.WFL.2021.024,,,,21-cal-21,,INVERT,INSECT,CALOPTERYGIDAE,TISSUE,3631,10.85,4.72,2230,44.48,-30.73,,,,,,,,,,,no issue
