"","Species","Group","Date","FISH_N","D13C","D15N","FRAME.JML","ISO_YSAMP_N","ISO_FISH_N","ITEM_N","TAXON","CATEGORY","FRAME.datbase","COMMENT","issue"
"1","dipterans","","5/8/2002","",-29.35,7.16,"JML",NA,NA,NA,NA,NA,NA,NA,"entry missing"
"2","CHI","","","CHI.LML.050703.SIC.001",-28.36,7.57,"JML",NA,NA,NA,NA,NA,NA,NA,"entry missing"
"3","CHI","","","CHI.LML.050703.SIC.002",-25.26,10.14,"JML",NA,NA,NA,NA,NA,NA,NA,"entry missing"
"4","CHI","","","CHI.LML.050803.SIC.001",-29.33,7.41,"JML",NA,NA,NA,NA,NA,NA,NA,"entry missing"
"5","CHI","","","CHI.LML.050803.SIC.002",-27.84,8.31,"JML",NA,NA,NA,NA,NA,NA,NA,"entry missing"
"6","ZOO","","","ZOO.LML.060403.SIC.001",-36.15,4.68,"JML",NA,NA,NA,NA,NA,NA,NA,"entry missing"
"7","ZOO","","","ZOO.LML.061204.SIC.001",-25.71,4.5,"JML",NA,NA,NA,NA,NA,NA,NA,"entry missing"
"8","ZOO","","","ZOO.LML.080204.SIC.001",-22.29,3.96,"JML",NA,NA,NA,NA,NA,NA,NA,"entry missing"
"9","ZOO","","","ZOO.LML.080403.SIC.001",-26.89,5.08,"JML",NA,NA,NA,NA,NA,NA,NA,"entry missing"
"10","ZOO","","","ZOO.LML.081803.SIC.001",-22.53,3.82,"JML",NA,NA,NA,NA,NA,NA,NA,"entry missing"
"11","ZOO","","","ZOO.LML.090204.SIC.001",-24.71,2.04,"JML",NA,NA,NA,NA,NA,NA,NA,"entry missing"
"12","LT","Fish","","LT.LML.050607.GLN.007",-27.52,12.64,"JML",NA,NA,NA,NA,NA,NA,NA,"entry missing"
"13","LT","Fish","","LT.LML.051207.RANG.001",-25.69,12.11,"JML",NA,NA,NA,NA,NA,NA,NA,"entry missing"
"14","SMB","Fish","","SMB.LML.051001.BEF.001",-21.39,11.14,"JML",NA,NA,NA,NA,NA,NA,NA,"entry missing"
"15","SMB","Fish","","SMB.LML.051001.BEF.002",-22.62,10.42,"JML",NA,NA,NA,NA,NA,NA,NA,"entry missing"
"16","SMB","Fish","","SMB.LML.051001.BEF.003",-22.27,10.33,"JML",NA,NA,NA,NA,NA,NA,NA,"entry missing"
"17","SMB","Fish","","SMB.LML.051001.BEF.004",-20.72,9.87,"JML",NA,NA,NA,NA,NA,NA,NA,"entry missing"
"18","SMB","Fish","","SMB.LML.051001.BEF.005",-19.91,11.05,"JML",NA,NA,NA,NA,NA,NA,NA,"entry missing"
"19","SMB","Fish","","SMB.LML.051001.BEF.006",-20,10.89,"JML",NA,NA,NA,NA,NA,NA,NA,"entry missing"
"20","SMB","Fish","","SMB.LML.052206.BEF.041",-22.24,10.48,"JML",NA,NA,NA,NA,NA,NA,NA,"entry missing"
"21","SMB","Fish","","SMB.LML.052305.BEF.086",-20.77,11.52,"JML",NA,NA,NA,NA,NA,NA,NA,"entry missing"
"22","SMB","Fish","","SMB.LML.052501.RANG.001",-21.72,11.43,"JML",NA,NA,NA,NA,NA,NA,NA,"entry missing"
"23","SMB","Fish","","SMB.LML.052501.RANG.002",-21.23,11.29,"JML",NA,NA,NA,NA,NA,NA,NA,"entry missing"
"24","SMB","Fish","","SMB.LML.052501.RANG.003",-20.58,10.84,"JML",NA,NA,NA,NA,NA,NA,NA,"entry missing"
"25","SMB","Fish","","SMB.LML.052501.RANG.004",-22.03,11.42,"JML",NA,NA,NA,NA,NA,NA,NA,"entry missing"
"26","SMB","Fish","","SMB.LML.052501.RANG.005",-22.64,10.57,"JML",NA,NA,NA,NA,NA,NA,NA,"entry missing"
"27","SMB","Fish","","SMB.LML.052801.BEF.001",-18.41,10.32,"JML",NA,NA,NA,NA,NA,NA,NA,"entry missing"
"28","SMB","Fish","","SMB.LML.052801.BEF.002",-20.99,10.68,"JML",NA,NA,NA,NA,NA,NA,NA,"entry missing"
